branch_id,model,feature_subset,data_branch,tuning_method,augmentation_strategy,n_folds_tuned,params_stable_across_folds,best_cv_score_mae,best_params,best_params_full_data,cv_strategy
FUSION_N_ST,DummyRegressor,FUSION,N,none,none,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
FUSION_N_ST,Ridge,FUSION,N,none,none,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
FUSION_N_ST,Lasso,FUSION,N,none,none,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
FUSION_N_ST,ElasticNet,FUSION,N,none,none,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
FUSION_N_ST,SVR,FUSION,N,none,none,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
FUSION_N_ST,RandomForest,FUSION,N,none,none,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
FUSION_N_ST,XGBoost,FUSION,N,none,none,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
FUSION_N_ST,MLP,FUSION,N,none,none,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
FUSION_N_ST,BNN,FUSION,N,none,none,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
FUSION_N_CT_random,DummyRegressor,FUSION,N,none,none,0,,,[],{},NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
FUSION_N_CT_random,Ridge,FUSION,N,random,none,10,False,40.14388282867726,"[{""model__alpha"": 10}, {""model__alpha"": 0.01}, {""model__alpha"": 100}, {""model__alpha"": 0.01}, {""model__alpha"": 100}, {""model__alpha"": 100}, {""model__alpha"": 100}, {""model__alpha"": 100}, {""model__alpha"": 0.01}, {""model__alpha"": 100}]","{""model__alpha"": 100}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
FUSION_N_CT_random,Lasso,FUSION,N,random,none,10,False,30.78120570116157,"[{""model__alpha"": 0.1}, {""model__alpha"": 0.001}, {""model__alpha"": 0.1}, {""model__alpha"": 0.1}, {""model__alpha"": 0.01}, {""model__alpha"": 0.1}, {""model__alpha"": 1}, {""model__alpha"": 0.01}, {""model__alpha"": 0.01}, {""model__alpha"": 0.001}]","{""model__alpha"": 0.01}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
FUSION_N_CT_random,ElasticNet,FUSION,N,random,none,10,False,27.173690135074214,"[{""model__l1_ratio"": 0.1, ""model__alpha"": 0.1}, {""model__l1_ratio"": 0.1, ""model__alpha"": 0.1}, {""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}, {""model__l1_ratio"": 0.7, ""model__alpha"": 0.01}, {""model__l1_ratio"": 0.7, ""model__alpha"": 0.01}, {""model__l1_ratio"": 0.7, ""model__alpha"": 0.01}, {""model__l1_ratio"": 0.7, ""model__alpha"": 0.01}, {""model__l1_ratio"": 0.5, ""model__alpha"": 10}, {""model__l1_ratio"": 0.3, ""model__alpha"": 1}, {""model__l1_ratio"": 0.9, ""model__alpha"": 1}]","{""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
FUSION_N_CT_random,SVR,FUSION,N,random,none,10,False,43.49271925852192,"[{""model__gamma"": ""auto"", ""model__epsilon"": 0.1, ""model__C"": 100}, {""model__gamma"": ""scale"", ""model__epsilon"": 5, ""model__C"": 100}, {""model__gamma"": ""auto"", ""model__epsilon"": 10, ""model__C"": 100}, {""model__gamma"": ""auto"", ""model__epsilon"": 10, ""model__C"": 100}, {""model__gamma"": 0.01, ""model__epsilon"": 5, ""model__C"": 100}, {""model__gamma"": ""auto"", ""model__epsilon"": 0.1, ""model__C"": 100}, {""model__gamma"": 0.1, ""model__epsilon"": 0.1, ""model__C"": 0.1}, {""model__gamma"": 0.1, ""model__epsilon"": 0.1, ""model__C"": 0.1}, {""model__gamma"": ""scale"", ""model__epsilon"": 10, ""model__C"": 10}, {""model__gamma"": ""auto"", ""model__epsilon"": 0.1, ""model__C"": 100}]","{""model__gamma"": ""auto"", ""model__epsilon"": 0.1, ""model__C"": 100}",NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido)
